iteration,time,y position,Calculated Solution,Exact Solution
3,0.009000000000000001,0,-0.0,0.0
3,0.009000000000000001,1,0.19334833916731736,0.19313821886589433
3,0.009000000000000001,2,0.3831669664784733,0.3827518997347976
3,0.009000000000000001,3,0.5660130832976472,0.5654032904324757
3,0.009000000000000001,4,0.7386155773377668,0.7378260734752264
3,0.009000000000000001,5,0.8979555683012145,0.8970057936466141
3,0.009000000000000001,6,1.0413407427318448,1.0402540838893026
3,0.009000000000000001,7,1.1664716477075514,1.165274861824184
3,0.009000000000000001,8,1.2714983110026536,1.2702208669188146
3,0.009000000000000001,9,1.355065793543801,1.3537391461724282
3,0.009000000000000001,10,1.4163475525067433,1.4150043683090099
3,0.009000000000000001,11,1.4550657935438014,1.4537391461724283
3,0.009000000000000001,12,1.4714983110026543,1.4702208669188148
3,0.009000000000000001,13,1.4664716477075521,1.465274861824184
3,0.009000000000000001,14,1.4413407427318454,1.4402540838893025
3,0.009000000000000001,15,1.3979555683012148,1.3970057936466143
3,0.009000000000000001,16,1.3386155773377668,1.3378260734752265
3,0.009000000000000001,17,1.266013083297647,1.2654032904324755
3,0.009000000000000001,18,1.1831669664784732,1.1827518997347977
3,0.009000000000000001,19,1.0933483391673173,1.0931382188658945
3,0.009000000000000001,20,1.0000000000000002,1.0000000000000002
4,0.012,0,0.0,0.0
4,0.012,1,0.18923424803305708,0.18896219472321135
4,0.012,2,0.3750400867875639,0.37450267902325407
4,0.012,3,0.5540735257996463,0.5532839963435836
4,0.012,4,0.7231573335633946,0.7221351232510855
4,0.012,5,0.8793592715151658,0.8781295505570209
4,0.012,6,1.020064295478563,1.0186573436857818
4,0.012,7,1.143038946730892,1.141489407926018
4,0.012,8,1.2464863471693377,1.244832376140372
4,0.012,9,1.3290904444133542,1.327372767416244
4,0.012,10,1.390048417381998,1.3883093293250557
4,0.012,11,1.4290904444133543,1.427372767416244
4,0.012,12,1.4464863471693385,1.444832376140372
4,0.012,13,1.4430389467308926,1.4414894079260179
4,0.012,14,1.4200642954785636,1.4186573436857821
4,0.012,15,1.3793592715151661,1.378129550557021
4,0.012,16,1.3231573335633946,1.3221351232510856
4,0.012,17,1.2540735257996463,1.2532839963435836
4,0.012,18,1.1750400867875639,1.1745026790232542
4,0.012,19,1.0892342480330572,1.0889621947232115
4,0.012,20,1.0000000000000002,1.0
5,0.015,0,-0.0,0.0
5,0.015,1,0.18523823113641485,0.18490800511066602
5,0.015,2,0.3671464481922946,0.3664941274015082
5,0.015,3,0.5424766330854499,0.5415182798324236
5,0.015,4,0.7081427407167749,0.7069019528391904
5,0.015,5,0.8612966876425834,0.8598040174559258
5,0.015,6,0.9993984813412399,0.9976906833393931
5,0.015,7,1.1202787632587938,1.11839788909642
5,0.015,8,1.2221922256162663,1.2201845886575065
5,0.015,9,1.303860586679512,1.3017756216092562
5,0.015,10,1.3645040662978902,1.36239311187577
5,0.015,11,1.4038605866795126,1.4017756216092563
5,0.015,12,1.4221922256162667,1.4201845886575066
5,0.015,13,1.4202787632587945,1.41839788909642
5,0.015,14,1.3993984813412408,1.3976906833393934
5,0.015,15,1.361296687642584,1.359804017455926
5,0.015,16,1.3081427407167752,1.3069019528391905
